DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2018,99.24,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2019,99.27,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2020,99.3,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2021,99.34,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2022,99.37,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2000,99.01,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2001,99.05,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2002,99.08,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2003,99.11,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2004,99.14,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2005,99.18,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2006,99.21,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2007,99.24,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2008,99.28,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2009,99.31,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2010,99.34,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2011,99.38,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2012,99.41,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2013,99.44,PERCENT,G,_X,,,
